Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
61	Western Kentucky	0.6	0.9	3	8	0.273	8	2	1	0	0	0	0	0	3.7%	0.1%
62	Northwestern St.	0.6	0.7	1	3	0.250	3	1	0	0	0	0	0	0	0.2%	0.0%
63	Hampton	0.6	0.8	1	5	0.167	5	1	0	0	0	0	0	0	0.1%	0.0%
64	Yale	0.5	0.7	2	5	0.286	5	2	0	0	0	0	0	0	3.2%	0.2%
65	Baylor	0.5	-0.8	21	12	0.636	13	10	5	3	1	1	1	2	82.7%	33.7%
66	James Madison	0.5	0.5	1	2	0.333	2	1	0	0	0	0	0	0	0.2%	0.0%
67	UC Irvine	0.5	0.5	1	2	0.333	2	1	0	0	0	0	0	0	0.2%	0.0%
68	Central Michigan	0.5	0.3	1	1	0.500	1	1	0	0	0	0	0	0	0.4%	0.0%
69	Little Rock	0.5	0.5	1	1	0.500	1	1	0	0	0	0	0	0	0.9%	0.1%
70	Lehigh	0.5	0.9	1	2	0.333	2	1	0	0	0	0	0	0	0.6%	0.0%
71	USC	0.4	0.7	10	10	0.500	10	5	3	2	0	0	0	0	29.8%	5.0%
72	North Texas	0.4	0.6	1	3	0.250	3	1	0	0	0	0	0	0	0.2%	0.0%
73	Morehead St.	0.4	0.4	1	4	0.200	4	1	0	0	0	0	0	0	0.1%	0.0%
74	Siena	0.4	0.9	2	4	0.333	4	2	0	0	0	0	0	0	1.8%	0.0%
75	Wyoming	0.4	-0.2	1	2	0.333	2	1	0	0	0	0	0	0	0.5%	0.0%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
76	Pacific	0.4	0.4	2	4	0.333	4	2	0	0	0	0	0	0	3.0%	0.2%
77	Cleveland St.	0.4	0.7	1	2	0.333	2	1	0	0	0	0	0	0	1.2%	0.1%
78	Louisville	0.3	3.0	28	15	0.651	16	10	7	6	3	1	1	3	94.1%	52.6%
79	Rutgers	0.3	0.4	1	1	0.500	1	1	0	0	0	0	0	0	1.6%	0.1%
80	Oakland	0.3	0.4	1	4	0.200	4	1	0	0	0	0	0	0	0.6%	0.0%
81	Indiana St.	0.3	0.1	1	3	0.250	3	1	0	0	0	0	0	0	0.4%	0.0%
82	San Diego	0.2	0.5	1	2	0.333	2	1	0	0	0	0	0	0	0.6%	0.0%
83	Harvard	0.2	0.6	2	4	0.333	4	2	0	0	0	0	0	0	3.7%	0.2%
84	Stephen F. Austin	0.1	0.5	2	5	0.286	5	2	0	0	0	0	0	0	4.6%	0.3%
85	Nevada	0.1	-0.1	6	8	0.429	8	4	2	0	0	0	0	0	16.0%	1.6%
86	Grand Canyon	0.1	-0.0	1	4	0.200	4	1	0	0	0	0	0	0	0.7%	0.0%
87	Notre Dame	0.1	-1.0	14	13	0.519	13	9	3	2	0	0	0	1	45.4%	7.9%
88	Mississippi	0.1	-0.4	5	6	0.455	6	3	2	0	0	0	0	0	12.6%	0.9%
89	South Florida	0.1	0.5	1	1	0.500	1	1	0	0	0	0	0	0	3.5%	0.3%
90	Bucknell	0.1	0.0	2	6	0.250	6	2	0	0	0	0	0	0	3.0%	0.2%
91	McNeese St.	0.1	-0.2	1	3	0.250	3	1	0	0	0	0	0	0	0.6%	0.0%
92	North Dakota St.	0.1	0.2	1	4	0.200	4	1	0	0	0	0	0	0	1.0%	0.0%
93	Wichita St.	0.0	1.3	11	8	0.579	8	6	3	1	1	0	0	1	50.0%	14.0%
94	UCF	0.0	0.1	1	3	0.250	3	1	0	0	0	0	0	0	2.4%	0.1%
95	Purdue	0.0	0.4	28	18	0.609	18	14	9	3	1	1	0	3	88.3%	33.6%
96	Arkansas Pine Bluff	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
97	North Carolina A&T	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
98	Delaware St.	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
99	Florida A&M	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
100	UT Arlington	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
101	Mississippi Valley St.	0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
102	Grambling St.	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
103	SIU Edwardsville	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
104	South Carolina St.	-0.0	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
105	Wagner	-0.0	-0.1	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
106	Stetson	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
107	UC Davis	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
108	Jackson St.	-0.0	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
109	Lamar	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
110	Gardner Webb	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
111	Hartford	-0.0	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
