Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
254	Oklahoma St.	-2.8	-3.2	12	13	0.480	13	6	3	2	1	0	0	2	57.9%	17.0%
255	Georgia	-2.9	-3.5	1	6	0.143	6	1	0	0	0	0	0	0	9.7%	0.8%
256	St. John's	-2.9	-4.9	2	5	0.286	5	2	0	0	0	0	0	2	17.0%	1.6%
257	Georgetown	-3.1	-4.3	11	10	0.524	10	6	3	1	1	0	0	3	63.1%	19.0%
258	Illinois	-3.2	-2.6	23	16	0.590	16	13	5	3	1	1	0	3	91.4%	48.6%
259	Providence	-3.4	-3.9	3	8	0.273	8	2	1	0	0	0	0	0	16.8%	1.4%
260	Stanford	-3.4	-5.1	11	9	0.550	9	7	3	1	0	0	0	3	78.6%	33.0%
261	Clemson	-3.4	-2.7	5	8	0.385	8	2	2	1	0	0	0	0	28.3%	3.7%
262	Wake Forest	-3.5	-4.2	6	7	0.462	7	5	1	0	0	0	0	2	48.4%	8.7%
263	New Mexico	-3.5	-4.5	3	7	0.300	7	3	0	0	0	0	0	0	21.3%	2.1%
264	Iowa St.	-4.2	-3.9	16	14	0.533	14	10	5	1	0	0	0	3	67.8%	15.7%
265	Saint Mary's	-4.5	-3.2	6	11	0.353	11	5	1	0	0	0	0	0	34.6%	6.1%
266	Texas	-5.0	-4.5	24	21	0.533	21	13	6	4	1	0	0	4	87.1%	31.2%
267	Ohio St.	-5.1	-4.9	23	16	0.590	16	12	5	3	2	1	0	7	93.4%	53.6%
268	Mississippi St.	-5.1	-5.4	4	9	0.308	9	4	0	0	0	0	0	1	33.1%	5.2%
269	Iowa	-5.1	-4.9	5	9	0.357	9	5	0	0	0	0	0	1	40.3%	8.8%
270	Utah St.	-5.6	-4.7	2	13	0.133	13	2	0	0	0	0	0	0	17.5%	2.1%
271	Pittsburgh	-6.2	-5.2	17	14	0.548	14	11	5	1	0	0	0	3	88.1%	42.6%
272	BYU	-6.5	-5.3	5	13	0.278	13	3	2	0	0	0	0	0	39.4%	6.7%
273	Cincinnati	-7.4	-7.4	12	15	0.444	15	10	2	0	0	0	0	3	78.3%	32.2%
274	Virginia	-8.3	-9.3	14	10	0.583	11	6	3	2	1	1	1	5	93.4%	52.1%
